
                        整租 | 交通便利！商圈成熟！经典复式！                    2700
                        整租 | 锦绣天地 2室2厅1卫 电梯房 精装修 配套齐全 随                    2500

                        整租 | 可短租月付！旁高力国际 干湿分离 真实图片 整租一居                    1100

                        整租 | 万达中央华城(南区) 2室2厅1卫 精装修 电梯房                     2500

                        整租 | 无中介费  交通方便  真实图片  看好来电                    1550

                        整租 | 火车站直租精装公寓电梯房拎包入住 周边交通便利娱乐圈                    1200

                        整租 | 金玉苑 1室1厅1卫 配套齐全 50平 南北通透                    1500

                        整租 | 丁香苑 2室2厅1卫 电梯房 精装修 南北通透                    1500

                        整租 | （真实在租）精装修！3房2厅2卫！业主诚租！带车位！                    6000

                        单间 | 地铁旁玉兰广场对面吾悦广场 大小单间 独立卫生间 厨                    700

                        整租 | 百丈 百馨西(三期 2室2厅1卫 精装修 89平 电                    1600

                        单间 | 我是房东独立卫出租，阳台，次卧，厨房昕弘学校，荷园边                    800

                        整租 | 红星美凯龙1室1厅1卫 32平 精装修 电梯房                    1300

                        整租 | 小区环境好，物业给力，小区前排，阳光无遮挡                    2000

                        整租 | 阳湖南村 2室1厅1卫 精装修 65平 南北通透                    1200

                        整租 | 通济新村 1室1厅1卫 精装修 49平                    1100

                        整租 | 新上！和平国际商业街1室有钥匙收款方装修精美拎包入住                    1400

                        整租 | 新出南河花园精装两室随时看房                    1850

                        整租 | 南大街单身小公寓   精装修 南北通透 30平                    1500

                        整租 | 新上急租梧桐苑大三房精装拎包即住靠近宝龙五中陪读的好                    1700

                        整租 | 滨江明珠城精装两房，清爽干净领包入住，2000                    2000

                        整租 | 清潭陈渡新苑对面 桂花园精装3室 干净清爽 配套齐全                    2200

                        整租 | 地铁口公交车！新城逸境园！临近地铁公交！设备齐全拎包                    2899

                        整租 | 国泰新都 一中对面 精装修 电梯房 价格可谈 欢迎咨                    2600

                        整租 | 万达 河海大学旁 旺角花园  三房两厅两卫 有钥匙                    2800

                        整租 | 非阁楼（诚心要8OO）清潭六村 荆川公园 怀德路旁                     1000

                        整租 | 金色新城  1室1厅1卫 57平 1600元月 电梯                    1600

                        整租 | 金地花苑 1室2厅 南北通透 布局合理 价格公道 手                    1800

                        整租 | 近公园 精装1室 楼层好 全天采光  交通便利 花一                    1900

                        整租 | 新上！清凉新村2室有钥匙随时看房装修精美拎包入住多套                    1400

                        整租 | 降价急租！菱溪名居！清爽整洁 拎包入住 设备齐全！随                    1999

                        整租 | 地铁口锦源大厦香江康桥精装一室，有宽带，南北通透，拎                    1688

                        整租 | 绿地峰云汇(东区) 3室2厅2卫 电梯房 138平                    2600

                        整租 | 新上 武进大学城附近 常大北门 香江康桥 精装一室                     1000

                        整租 | 科教城北 地铁口 大学城 丰乐尚都137平 电梯房                     2800

                        整租 | 香槟广场 自住装修3室 随时看房 拎包入住                    2500

                        整租 | 怡康花园 家具齐全 看房方便 看中可谈                    3000

                        整租 | 万达环球港旁，中创时代广场精装两室，诚心出租，拎包入                    1800

                        整租 | （新上）新城长岛 3室2厅1卫 110平 电梯房 精                    2500

                        整租 | 花园街地铁站精装2房步步高前黄万达吾悦包物业                    2300

                        整租 | 潞城花苑小区 3室2厅2卫 120平 精装修 南北通                    1900

                        整租 | 北郊旁 地铁口 壹号天禧精装大三房 环球港附近 拎包                    3000

                        整租 | 百丈 百馨西苑三期 2室2厅1卫 89平 电梯房 南                    1200

                        整租 | 恐龙园软件园龙湖星图旁.世茂广场公寓可短租月付有无线                    1550

                        整租 | 新出房源 科教城北| 丰乐尚都旁中奥珑郡精装一室 随                    1450

                        整租 | 新上！！（带风管机）三朝南户型，可乐记得要加冰，租房                    2800

                        整租 | 湖塘万达广场 桥北中學旁 北建新村两房整租1300元                    1300

                        整租 | 恐龙园旁 南北通透 前面无遮挡  电梯房随时看房                    2200

                        整租 | 整租有钥匙，银河湾名苑精装修一室，大采光朝西，可付一                    1900

                        整租 | 桥北中學旁，聚湖家园二期精装修三房，南北通透，拎包入                    2200

                        整租 | 新城南都电梯小三房拎包入住                    2600
